# GPU perf-identity A/B
started      : 2026-08-08T19:02:20.7127001-04:00
arm A (base) : C:\v2bt\release\deps\wukong_codegen_gpu-454bf719eed29436.exe
             : sha256 7F7CEECBBF412731554AFF52513AD921BE091578DD462ACA8B7289D1BAA8A9DC
arm C (ctrl) : C:\v2bt\release\deps\wukong_codegen_gpu-454bf719eed29436.exe   <- same binary as A; C/A is this run's noise floor
arm B (new)  : C:\Users\Quant\Documents\Programming\Projects\Compiler\Mercury\target\release\deps\wukong_codegen_gpu-454bf719eed29436.exe
             : sha256 2F0D86A5B5717587F44A8A48392511892A6F3E4C584B51727D4EF6A4C8222CD7
rounds       : 5 (plus a discarded warm-up round 0)
benches      : gemm_throughput, tensorcore_throughput, tensorcore_roofline_pct, flash_throughput, int8_swz_vs_handplaced, hbm_bandwidth, transformer_layer_throughput, resident_model_throughput, mega_vs_single_gemm, mega_vs_single_vmath, cubin_cache_compile_latency
power BEFORE : AC, not charging 87%
gpu   BEFORE : NVIDIA GeForce RTX 4050 Laptop GPU, 210 MHz, 405 MHz, 47, 2.03 W

== warm-up (DISCARDED)  19:02:20
   gemm_throughput                  A     1809 ms
   gemm_throughput                  C     1787 ms
   gemm_throughput                  B     2613 ms
   tensorcore_throughput            A     8394 ms
   tensorcore_throughput            C     8172 ms
   tensorcore_throughput            B     8759 ms
   tensorcore_roofline_pct          A     2208 ms
   tensorcore_roofline_pct          C     2214 ms
   tensorcore_roofline_pct          B     2250 ms
   flash_throughput                 A      533 ms
   flash_throughput                 C      459 ms
   flash_throughput                 B      478 ms
   int8_swz_vs_handplaced           A    23776 ms
   int8_swz_vs_handplaced           C    23307 ms
   int8_swz_vs_handplaced           B    23406 ms
   hbm_bandwidth                    A     3350 ms
   hbm_bandwidth                    C     3294 ms
   hbm_bandwidth                    B     3428 ms
   transformer_layer_throughput     A    14398 ms
   transformer_layer_throughput     C    14070 ms
   transformer_layer_throughput     B    15330 ms
   resident_model_throughput        A    14488 ms
   resident_model_throughput        C    15238 ms
   resident_model_throughput        B    14443 ms
   mega_vs_single_gemm              A     5937 ms
   mega_vs_single_gemm              C     5746 ms
   mega_vs_single_gemm              B     5851 ms
   mega_vs_single_vmath             A    11148 ms
   mega_vs_single_vmath             C    10965 ms
   mega_vs_single_vmath             B    11115 ms
   cubin_cache_compile_latency      A      199 ms
   cubin_cache_compile_latency      C      194 ms
   cubin_cache_compile_latency      B      226 ms
== round 1  19:06:40
   gemm_throughput                  C     1784 ms
   gemm_throughput                  B     1834 ms
   gemm_throughput                  A     1808 ms
   tensorcore_throughput            C     8285 ms
   tensorcore_throughput            B     8227 ms
   tensorcore_throughput            A     8215 ms
   tensorcore_roofline_pct          C     2206 ms
   tensorcore_roofline_pct          B     2094 ms
   tensorcore_roofline_pct          A     2054 ms
   flash_throughput                 C      417 ms
   flash_throughput                 B      467 ms
   flash_throughput                 A      434 ms
   int8_swz_vs_handplaced           C    23956 ms
   int8_swz_vs_handplaced           B    23539 ms
   int8_swz_vs_handplaced           A    23068 ms
   hbm_bandwidth                    C     3797 ms
   hbm_bandwidth                    B     3281 ms
   hbm_bandwidth                    A     3605 ms
   transformer_layer_throughput     C    14427 ms
   transformer_layer_throughput     B    14450 ms
   transformer_layer_throughput     A    14293 ms
   resident_model_throughput        C    15186 ms
   resident_model_throughput        B    14247 ms
   resident_model_throughput        A    14110 ms
   mega_vs_single_gemm              C     5740 ms
   mega_vs_single_gemm              B     5734 ms
   mega_vs_single_gemm              A     5732 ms
   mega_vs_single_vmath             C    10940 ms
   mega_vs_single_vmath             B    10949 ms
   mega_vs_single_vmath             A    10964 ms
   cubin_cache_compile_latency      C      194 ms
   cubin_cache_compile_latency      B      197 ms
   cubin_cache_compile_latency      A      182 ms
== round 2  19:10:57
   gemm_throughput                  B     1731 ms
   gemm_throughput                  A     1735 ms
   gemm_throughput                  C     1739 ms
   tensorcore_throughput            B     8323 ms
   tensorcore_throughput            A     8226 ms
   tensorcore_throughput            C     8354 ms
   tensorcore_roofline_pct          B     2786 ms
   tensorcore_roofline_pct          A     2134 ms
   tensorcore_roofline_pct          C     2338 ms
   flash_throughput                 B      440 ms
   flash_throughput                 A      426 ms
   flash_throughput                 C      424 ms
   int8_swz_vs_handplaced           B    23898 ms
   int8_swz_vs_handplaced           A    23364 ms
   int8_swz_vs_handplaced           C    23506 ms
   hbm_bandwidth                    B     3665 ms
   hbm_bandwidth                    A     3211 ms
   hbm_bandwidth                    C     3157 ms
   transformer_layer_throughput     B    14564 ms
   transformer_layer_throughput     A    15154 ms
   transformer_layer_throughput     C    15748 ms
   resident_model_throughput        B    15589 ms
   resident_model_throughput        A    13853 ms
   resident_model_throughput        C    15052 ms
   mega_vs_single_gemm              B     5739 ms
   mega_vs_single_gemm              A     5738 ms
